domain,group
NA,AD CSC Administrative Transition Team Role DL
NA,AD CSC iSTS Admin Role DL
NA,AD CSC Network Admin Role DL
NA,AD CSC Operational Management Role DL
NA,AD CSC PMO Transition Team Role DL
NA,AD CSC SAN Admin Role DL
NA,AD CSC UTS Admin Role DL
NA,AD CSC Windows Server Admin Role DL
