Farm,Silo,Domain,AppName,AppLocaton,GroupName
CPS_Farm,BAS-CAP_APPS,MEAT,Manual Mode Report,C:\Program Files\Internet Explorer\IEXPLORE.EXE http://wkalp1.meat.cargill.com/butler/manualmode,
CPS_Farm,BAS-CAP_APPS,MEAT,Medical Tracking System,D:\apps\ExcelApps\MTS\MTS.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,MTS Archive,d:\apps\excelapps\MTSArchive\mts_foxpro_archive.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Other Cargill Apps-HR Direct,"C:\Program Files\Internet Explorer\IEXPLORE.EXE ""https://hrdirect.cargill.com""",
CPS_Farm,BAS-CAP_APPS,MEAT,PAR Trader Version 2,,
CPS_Farm,BAS-CAP_APPS,MEAT,Password Encryption Utility,D:\apps\ExcelApps\PasswordEncryption\PasswordEncryption.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,PFS Change Control,D:\apps\ExcelApps\Plant Systems\PFS Change Control\Apps\PFS Change Control.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,PFS EFD,,
CPS_Farm,BAS-CAP_APPS,MEAT,PFS Receiving EFD,,
CPS_Farm,BAS-CAP_APPS,MEAT,PFS Shipping EFD,,
CPS_Farm,BAS-CAP_APPS,MEAT,PFS-Backup Plant,,
CPS_Farm,BAS-CAP_APPS,MEAT,PFS-Backup Receiving,,
CPS_Farm,BAS-CAP_APPS,MEAT,PFS-Backup Shipping,,
CPS_Farm,BAS-CAP_APPS,MEAT,PHA-Pro,D:\apps\PHA-Pro\phapro.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Pork Hours and Maintenance,D:\apps\ExcelApps\labor analysis\Labor.NET\LA.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Pork Labor Reporting,d:\apps\ExcelApps\labor analysis\New Labor\labor.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,PPM,D:\apps\excelapps\ppm\ppm PB11\a_ppm.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,PuTTY,D:\apps\PuTTY\putty.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Qualtrax,,
CPS_Farm,BAS-CAP_APPS,MEAT,Remote Administrator,D:\apps\util\radmin\radmin.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,RiskSafe,,
CPS_Farm,BAS-CAP_APPS,MEAT,Safety,D:\apps\ExcelApps\Safety\Safety.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Slaughter Data Dashboard,N/A,
CPS_Farm,BAS-CAP_APPS,MEAT,Transfer Utility,,
CPS_Farm,BAS-CAP_APPS,MEAT,TSM Admin Menu,D:\apps\util\tsm\scripts\tsm.cmd,
CPS_Farm,BAS-CAP_APPS,MEAT,Turkey Site Surveys Shared Files,C:\Program Files\Internet Explorer\IEXPLORE.EXE \\xlwichf01\shared\it\projects\active\tco\Client Documents\Devices and App Reports\Turkey\,
CPS_Farm,BAS-CAP_APPS,MEAT,Unified Data Entry,C:\Program Files\Internet Explorer\IEXPLORE.EXE http://wkrs9.meat.cargill.com:8680/dwde/pages/login.jsp,
CPS_Farm,BAS-CAP_APPS,MEAT,Value Based Procurement - Pork,,
CPS_Farm,BAS-CAP_APPS,MEAT,Weight by Shift Report,C:\Program Files\Internet Explorer\IEXPLORE.EXE http://wkalp1.meat.cargill.com/butler/weightbyshift,
