"Computer","VideoCard","Device","VideoMemory","NeedsUpgraded","Online","Date"
"COMPUTER-4571A9","Mobile Intel(R) 965 Express Chipset Family","VideoController1","384MB","False","True","4/30/2010 8:57 PM"
"COMPUTER-4571A9","Mobile Intel(R) 965 Express Chipset Family","VideoController2","384MB","False","True","4/30/2010 8:57 PM"
